Start Time, Fri May 14 09:04:19 GMT-0600 2021
Energy calibration,  Offset: -2.2089352569309995e-10, Slope: 0.10010585188865662, Quadratic: 0
Live Time (s), 1397.41
Real Time (s), 1562.99
Elapsed Computational, 1000000
Spectrum
Channel, Energy (keV), Counts
69, 6.907303780096413, 2739
70, 7.00740963198507, 2766
71, 7.107515483873726, 2792
72, 7.207621335762383, 2743
73, 7.3077271876510395, 2609
74, 7.407833039539696, 2709
75, 7.507938891428353, 2648
76, 7.608044743317009, 2686
77, 7.708150595205666, 2638
78, 7.8082564470943225, 2582
79, 7.908362298982979, 2601
80, 8.008468150871636, 2641
81, 8.108574002760292, 2547
82, 8.208679854648949, 2559
83, 8.308785706537606, 2490
84, 8.408891558426262, 2511
85, 8.508997410314919, 2508
86, 8.609103262203575, 2491
87, 8.709209114092232, 2490
88, 8.809314965980889, 2508
89, 8.909420817869545, 2409
90, 9.009526669758202, 2353
91, 9.109632521646859, 2464
92, 9.209738373535515, 2464
93, 9.309844225424172, 2422
94, 9.409950077312828, 2509
95, 9.510055929201485, 2389
96, 9.610161781090142, 2392
97, 9.710267632978798, 2367
98, 9.810373484867455, 2381
99, 9.910479336756111, 2315
100, 10.010585188644768, 2426
101, 10.110691040533425, 2342
102, 10.210796892422081, 2320
103, 10.310902744310738, 2302
104, 10.411008596199395, 2265
105, 10.511114448088051, 2337
106, 10.611220299976708, 2309
107, 10.711326151865364, 2223
108, 10.811432003754021, 2189
109, 10.911537855642678, 2289
110, 11.011643707531334, 2187
111, 11.11174955941999, 2264
112, 11.211855411308647, 2206
113, 11.311961263197304, 2299
114, 11.41206711508596, 2255
115, 11.512172966974617, 2181
116, 11.612278818863274, 2292
117, 11.71238467075193, 2217
118, 11.812490522640587, 2184
119, 11.912596374529244, 2235
120, 12.0127022264179, 2194
121, 12.112808078306557, 2233
122, 12.212913930195214, 2089
123, 12.31301978208387, 2145
124, 12.413125633972527, 2272
125, 12.513231485861184, 2146
126, 12.61333733774984, 2143
127, 12.713443189638497, 2133
128, 12.813549041527153, 2119
129, 12.91365489341581, 2065
130, 13.013760745304467, 2073
131, 13.113866597193123, 2131
132, 13.21397244908178, 2024
133, 13.314078300970436, 2128
134, 13.414184152859093, 2150
135, 13.51429000474775, 2169
136, 13.614395856636406, 2052
137, 13.714501708525063, 2108
138, 13.81460756041372, 2078
139, 13.914713412302376, 2086
140, 14.014819264191033, 2162
141, 14.11492511607969, 2010
142, 14.215030967968346, 2022
143, 14.315136819857003, 2002
144, 14.41524267174566, 2074
145, 14.515348523634316, 2006
146, 14.615454375522972, 2018
147, 14.715560227411629, 2041
148, 14.815666079300286, 2080
149, 14.915771931188942, 2076
150, 15.015877783077599, 2043
151, 15.115983634966256, 1977
152, 15.216089486854912, 2032
153, 15.316195338743569, 2016
154, 15.416301190632225, 1962
155, 15.516407042520882, 2028
156, 15.616512894409539, 1977
157, 15.716618746298195, 1905
158, 15.816724598186852, 2000
159, 15.916830450075508, 1986
160, 16.016936301964165, 1971
161, 16.11704215385282, 1933
162, 16.21714800574148, 1913
163, 16.317253857630135, 1940
164, 16.41735970951879, 1963
165, 16.517465561407448, 1959
166, 16.617571413296105, 2014
167, 16.71767726518476, 1923
168, 16.817783117073418, 1927
169, 16.917888968962075, 1924
170, 17.01799482085073, 1945
171, 17.118100672739388, 1959
172, 17.218206524628044, 1856
173, 17.3183123765167, 1948
174, 17.418418228405358, 1891
175, 17.518524080294014, 1848
176, 17.61862993218267, 1904
177, 17.718735784071328, 1850
178, 17.818841635959984, 1876
179, 17.91894748784864, 1842
180, 18.019053339737297, 1815
181, 18.119159191625954, 1791
182, 18.21926504351461, 1759
183, 18.319370895403267, 1860
184, 18.419476747291924, 1899
185, 18.51958259918058, 1936
186, 18.619688451069237, 1930
187, 18.719794302957894, 1843
188, 18.81990015484655, 1849
189, 18.920006006735207, 1832
190, 19.020111858623864, 1863
191, 19.12021771051252, 1838
192, 19.220323562401177, 1911
193, 19.320429414289833, 1874
194, 19.42053526617849, 1814
195, 19.520641118067147, 1892
196, 19.620746969955803, 1846
197, 19.72085282184446, 1816
198, 19.820958673733116, 1810
199, 19.921064525621773, 1860
200, 20.02117037751043, 1807
201, 20.121276229399086, 1759
202, 20.221382081287743, 1793
203, 20.3214879331764, 1807
204, 20.421593785065056, 1780
205, 20.521699636953713, 1795
206, 20.62180548884237, 1846
207, 20.721911340731026, 1815
208, 20.822017192619683, 1868
209, 20.92212304450834, 1798
210, 21.022228896396996, 1812
211, 21.122334748285652, 1825
212, 21.22244060017431, 1741
213, 21.322546452062966, 1737
214, 21.422652303951622, 1759
215, 21.52275815584028, 1742
216, 21.622864007728936, 1763
217, 21.722969859617592, 1789
218, 21.82307571150625, 1740
219, 21.923181563394905, 1753
220, 22.023287415283562, 1716
221, 22.12339326717222, 1758
222, 22.223499119060875, 1745
223, 22.323604970949532, 1815
224, 22.42371082283819, 1759
225, 22.523816674726845, 1732
226, 22.6239225266155, 1718
227, 22.72402837850416, 1789
228, 22.824134230392815, 1814
229, 22.92424008228147, 1765
230, 23.024345934170128, 1737
231, 23.124451786058785, 1733
232, 23.22455763794744, 1705
233, 23.324663489836098, 1749
234, 23.424769341724755, 1742
235, 23.52487519361341, 1777
236, 23.624981045502068, 1742
237, 23.725086897390725, 1714
238, 23.82519274927938, 1710
239, 23.925298601168038, 1774
240, 24.025404453056694, 1775
241, 24.12551030494535, 1761
242, 24.225616156834008, 1681
243, 24.325722008722664, 1760
244, 24.42582786061132, 1741
245, 24.525933712499977, 1670
246, 24.626039564388634, 1657
247, 24.72614541627729, 1767
248, 24.826251268165947, 1699
249, 24.926357120054604, 1701
250, 25.02646297194326, 1677
251, 25.126568823831917, 1653
252, 25.226674675720574, 1688
